Service,Name,Tags 1,Tags 2,Tags 3,Tags 4,Tags 5,Tags 6,Tags 7,Description,Availability 1,Availability 2,Availability 3,Availability 4,Availability 5,Availability 6,Availability 7,Availability 8,Availability 9,Availability 10,Availability 11,Availability 12,Availability 13,Availability 14,Availability 15,Availability 16,Availability 17,Availability 18,Availability 19,Availability 20,Availability 21,Availability 22,Availability 23,Availability 24,Availability 25,Availability 26,Availability 27,Availability 28,Availability 29,Availability 30,Availability 31,Availability 32,Availability 33,Availability 34,Availability 35,Availability 36,Availability 37,Availability 38,Availability 39,Availability 40,Availability 41,Availability 42,Availability 43,Availability 44,Availability 45,Availability 46,Availability 47,Availability 48,Availability 49,Availability 50,Availability 51,Tags 8,Tags 9,Tags 10
Chemical Manufacturers and Chemical Distributors,Jencap Specialty Insurance Services (Environmental),Chemical Distributors,Chemical Manufacturing,Industrial Cleaners & Solvents,Chemical Hauler,Chemical Applicator,Products Pollution Liability,+ 2 more,Jencap is a leader in providing manufacturers and distributors with an insurance product that protects the insured against a product failure that could cause a pollution condition.  Landmark offers combined Commercial General Liability with product pollution and Environmental Impairment Liability (EIL) for a wide range of manufacturers and distributors. ...,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
Hazardous Materials Haulers,"Leo Risk Services, Inc.",Hazardous Transporters,Fuel Haulers,Chemical Hauler,Hazardous,,,,Target Risk Profile: Gas / Fuel Haulers; Chemical Haulers; Oil / Lubricant Haulers; Minimum of 10 power units ; 50% of operations from haz mat hauling    Submission Requirements: ACORD Applications w/ drivers list; Five year currently valued loss runs,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
Pollution Liability and General Liability,Capell Insurance Management LLC,Pollution,Environmental,Chemical Manufacturer,Paint Manufacturers,Ink,Chemical Distributor,Chemical Manufacturing,"Working with various carriers and specializing in the CHEMICAL PROCESS and peripheral indsutries.  Property and Liability lines available, as is Workers Compensation.   Facilities and distributors carry minimum GL / PL premium of $50,000.  Please call or email a description of the risk to determine eligibility.",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Petrochemical,Chemicals,Cosmetics
Manufacturers Product Pollution,Jencap Specialty Insurance Services (Environmental),Manufacturers,Chemical Manufacturing,Chemical Distributors,Pipelines,Products Pollution Liability,Contaminated Products Pollution,Chemicals,Jencap is a leader in providing manufacturers and distributors with an insurance product that protects the insured against a product failure that could cause a pollution condition.  Landmark offers combined Commercial General Liability with product pollution and Environmental Impairment Liability (EIL) for a wide range of manufacturers and distributors.  The ...,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,+ 2 more,,
Chemical Products,Woodlands Insurance Services,Chemicals,Equipment,,,,,,"A and A+ rated markets available for, but not limited to, the following classes:  • Chemicals • Industrial Equipment • Marine Equipment • Oilfield Equipment (valves, pipe, mud, tools)   Coverages Available:  • Punitive Damages • Pollution",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
Hazardous Products,Woodlands Insurance Services,Hazardous Products,Chemicals,Pollution,,,,,"A and A+ rated markets available for, but not limited to, the following classes:  • Chemicals • Industrial Equipment • Marine Equipment • Oilfield Equipment(valves, pipe, mud, tools)   Coverages Available:  • Punitive Damages • Pollution",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
New Products,Woodlands Insurance Services,New Products,Chemicals,Pollution,,,,,"A and A+ rated markets available for, but not limited to, the following classes:  • Chemicals • Industrial Equipment • Marine Equipment • Oilfield Equipment(valves, pipe, mud, tools)   Coverages Available:  • Punitive Damages • Pollution",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
Product Pollution Liability,Jencap Specialty Insurance Services (Environmental),Chemicals,Pollution,Environmental,Chemical Distributor,Chemical Manufacturing,Industrial Cleaners & Solvents,Water Treatment Pollution Liability,Jencap is a leader in providing manufacturers and distributors with an insurance product that protects the insured against a product failure that could cause a pollution condition.  Landmark offers combined Commercial General Liability with product pollution and Environmental Impairment Liability (EIL) for a wide range of manufacturers and distributors.  The ...,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,+ 3 more,,
Environmental Liability,Philadelphia Insurance Companies,Healthcare,Chemicals,Manufacturing,Premises Liability,Contractors,Environmental,,"Philadelphia Insurance Companies offers Premises Environmental Coverage (PEC) and Contractor Environmental & Professional Coverage (CEPC). PHLY's PEC Insurance provides comprehensive environmental coverage for any class of business including Agriculture, Manufacturing, Healthcare, Habitational, Chemical, Brownfields Development, Municipal and other risks. PHLY's CEPC Insurance provides comprehensive environmental and professional protection for Construction ...",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
Chemical Manufacturers and Distributors,ChemPlan - Chemical Insurance,,,,,,,,ChemPlan has been a leading provider of specialized insurance programs for chemical distributors and manufacturers since 1984. The commitment to quality and technical expertise of the ChemPlan team is second to none. We are proud of the fact that our singular focus and long-term involvement with this unique market has ...,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
